"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"SS2. 6-8 Strides (hill), Count Up-Down 45min RPE","Run","Advanced Strides. Warm up with easy running for 15-20 minutes. Then run 6-8x20 seconds on a slight hill such as a 1-2% grade (best on grass.) Run the odd-numbered (1-3-5-7) strides uphill; evens (2-4-6-8) downhill. Count your foot steps for one leg only on each stride. The count for each should be about 30 left (or right) steps. Walk around for 40 seconds after each 20-second stride. Focus on maintaining a ""proud"" posture whether going up or down the hill. Cool down with heart rate in zone 1 to complete the planned workout duration.","0.75","","2026-02-19","Emphasize good technique—flat foot strike (not on heels).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Recovery Spin 1h Power","Bike","Very easy recovery spin on a mostly flat course (or on indoor trainer) in small chainring. Power in zone 1. Light on the pedals. Comfortably high rpm focusing on pedaling skills.","1","","2026-02-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. PDLC Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS, 3-4 sets","Strength","Strength: Warm up 5-10 minutes. Then do 3-4 sets of Max Strength (MS) with 3-6 reps and heavy loads. Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME3. Variably Paced 3000y","Swim","(You may substitute a masters swim workout.) WU: 4 x 100 done as 25 drill (your choice), 25 R arm only, 25 L arm only, 25 swim. MS: 2000 straight swim alternating T-pace 50s with easy-pace 50s. CD: 600 swim good form. Total—3000","0.770277777777778","2743.2001953125","2026-02-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MF2. Work Uphills 1.5h HR","Run","Run on a hilly course with heart rate in zones 2-3 on uphills. Otherwise run with heart rate in zones 1-2. Avoid heart rate zones 4-5. Take it easy on the downhills.","1.5","","2026-02-21","(This is best done outdoors but may also be done on a treadmill by varying the grade. No more than 75 minutes if indoors.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. AeT Steady State 2.5h (1.5h) HR+Power","Bike","AeT Steady State. Warm up 20 minutes. Then ride 1:45 (1 hour, 45 minutes) steady at about 30 beats per minute (+/- 2 bpm) below the lowest HR in your 5a zone (LTHR). Observe power at this effort if you have a power meter. What was your normalized power (NP) for the steady state portion? Divide NP by average HR for the hour to find your efficiency factor (EF). Over time, as you repeat this workout, your EF should rise. Easy cool down.","2.5","","2026-02-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS, 2-3 sets","Strength","Strength: Warm up 5-10 minutes. Then do 2-3 (two or three) sets of Max Strength (MS). Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-02-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-02-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 30min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.5","","2026-02-24","This should be a very easy (low TSS) day. Be ready for weekend testing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Drills, 6x50/PDLC 20min","Swim","OPTIONAL workout. Warm-up + drills for your technique limiter. Then do 6x50 fast form (on 90 seconds). Long, easy cool down. FORM! OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.333333333333333","","2026-02-26","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-02-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS, 2-3 sets","Strength","Strength: Warm up 5-10 minutes. Then do 2-3 (two or three) sets of Max Strength (MS). Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-02-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3. Half-Ironman Test set 2400y","Swim","Warm-up: 200 building speed on each 50 (slow-mod-faster-fastest). Rest 30 sec. Then 4 x 400 (10 sec recoveries) building speed on each 100 (slow-mod-faster-fastest). Recover 10 seconds after last one. Then swim a 500 time trial all-out. Your average 100 pace for this is your T-time for future workouts. Then swim easy, 100 cool down. (2400m/y)","0.634722222222222","2194.56005859375","2026-02-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-02-28","This may be done outdoors or on a treadmill.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. AeT Steady State 2.5h (1.75h) HR+Power","Bike","AeT Steady State. Warm up 20 minutes. Then ride 1:45 (1 hour, 45 minutes) steady at about 30 beats per minute (+/- 2 bpm) below the lowest HR in your 5a zone (LTHR). Observe power at this effort if you have a power meter. What was your normalized power (NP) for the steady state portion? Divide NP by average HR for the hour to find your efficiency factor (EF). Over time, as you repeat this workout, your EF should rise. Easy cool down.","2.5","","2026-03-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SM, 2 sets","Strength","Strength: Warm up 5-10 minutes. Then do 2 sets of Strength Maintenance (SM) weight lifting. First set is light (12 reps with 15RM load). Second set is heavy (3-6 reps with 6RM load). Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. This should be a very brief workout. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.5","","2026-03-02","This is the next, less challenging phase of strength training. If you feel you did not build enough strength in the MS phase, then continue it until ready to start SM. In SM you will lift only once weekly.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-03-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME1. Tempo Intervals (3-4x6min) 45min HR","Run","Tempo Intervals. Warm up well. Then do 3-4 x 6 minutes. Build to zone 3 heart rate with 2-minute recovery walk/jog between intervals. Relaxed form! Listen to breathing.","0.75","","2026-03-03","(This is best done outdoors but may be done on a treadmill.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME3. Ladder Down 2350y","Swim","(You may substitute a masters swim workout.) WU: 6 x 50 done as 25 drill of choice, 25 building speed. MS: 500 at T-pace (50 sec rest). 5 x 25 fast (20 sec rest between). 400 at T-pace (40 sec). 4 x 25 fast (20 sec). 300 at T-pace (30 sec). 3 x 25 fast (20 sec). 200 at T-pace (20 sec). 2 x 25 fast (20 sec). 100 at T-pace. CD: 200 easy drills and swims of your choice. Total—2350","0.538333333333333","2148.84008789063","2026-03-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-03-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-03-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work, Count Strokes 30min","Swim","Swim several long, easy sets. Focus on form. Count strokes per length trying to reduce them with efficient technique. Cadence should be in the range of 45-55 strokes per minute. OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-03-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME2. Hill Cruise Intervals 1h Power","Bike","Hill Cruise Intervals. Warm up about 15 minutes gradually increasing intensity and including a few brief zone 4 efforts as you feel like it. Then climb a 6-8 minute hill (4-6% grade) 4-5 times in power zone 4. Recover after each climb for however long it takes to immediately descend the hill. Get about 30 minutes of high-intensity climbing today. Stay seated upright on each. Smooth pedaling. Short cool down.","1","","2026-03-05","This may be done on an indoor trainer. If so, do 4x8 minutes at zone 4 and recover for 2 minutes in zone 1 after each.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-03-05","This may be done outdoors or on a treadmill.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME2. Short Intervals/Recoveries 2700y","Swim","(You may substitute a masters swim workout.) WU: 200 free, 100 drill (your choice). 4 x 100 done as 25 freestyle, 25 R arm only, 25 L arm only, 25 free. 6 x 100. Odds (1,3,5): 25 drill, 25 R arm only, 25 L arm only, 25 free. Evens (2,4,6): 25 swim, 25 drill, 25 pull, 25 swim. MS: Try to make the times for these as consistent as possible. Recoveries are in seconds within parentheses. 8 x 100 @ T-pace (10 sec rest after each). 8 x 50 @ T-pace (10 sec rest after each). CD: 200 easy. Total—2700","0.655555555555556","2468.88012695313","2026-03-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Recovery Spin 1h Power","Bike","Very easy recovery spin on a mostly flat course (or on indoor trainer) in small chainring. Power in zone 1. Light on the pedals. Comfortably high rpm focusing on pedaling skills.","1","","2026-03-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. Strides, 6-8 Count Steps 45min RPE","Run","Advanced Strides. (This is best outdoors but may be done on a treadmill.) Warm up with easy running for 15-20 minutes. On grass or other soft surface, run fast for 6-8 times for 30 steps each time counting only left- (or right-) foot steps. Goal = 19-20 seconds for 30 steps. That means you're running at around 90 rpm. Focus on one aspect of your form (such as foot placement or good posture) on each stride. During the recoveries skip 60 times—30 skips each leg alternating. (See The Triathlete's Training Bible for details on skipping.) Also include walking in recoveries. Cool down in zone 1 to finish off the planned duration for this workout.","0.75","","2026-03-06","Strides may be done barefoot, but be sure to check the course for sharp objects and dog droppings. Don't run barefoot if there are open wounds on your feet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work, Count Strokes/PDLC 30min","Swim","Swim several long, easy sets. Focus on form. Count strokes per length trying to reduce them with efficient technique. Cadence should be in the range of 45-55 strokes per minute. OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-03-06","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME3. Mod-Easy Pyramid 3300y","Swim","(You may substitute a masters swim workout.) WU: 4 x 100 swim done as 25s each of drill (your choice), R arm only, L arm only, swim. MS: The even intervals are done at 5 seconds slower than 100 T-pace. The others are relaxed swims emphasizing good technique. Recoveries are in seconds within parentheses. 100 (15 sec rest) 200 (20) 300 (40) 400 (60) 500 (60) 400 (60) 300 (40) 200 (20) 100. CD: Easy combination of drills and strokes for 10 minutes. Total: 3300","0.8869017706977","3178.76000976563","2026-03-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. AeT Steady State 1.75h (1h) HR","Run","Warm up well. Then on a mostly flat course (or treadmill), run 60 minutes at 30 bpm below the lowest HR in your 5a zone (LTHR). Focus on good form with a comfortably high cadence (85+ rpm) and flat footstrike (not on toes or heels).","1.75","","2026-03-07","1.5 hours if indoors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 3h (2h) HR+Power","Bike","Warm up 15 minutes. Then ride 2 hours steady at about 30 beats per minute (+/- 2 bpm) below the lowest HR in your 5a zone (FTHR—see Chapter 4 in The Triathlete’s Training Bible, 4th edition). Observe power at this effort. What was your normalized power (NP) for the 1-hour steady ride portion? Divide NP by the average HR for the hour to find your Efficiency Factor (EF is also shown on Training Peaks workout analysis page). Over time, as you repeat this workout, your EF should rise. Cool down.","3","","2026-03-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SM, 2 sets","Strength","Strength: Warm up 5-10 minutes. Then do 2 sets of Strength Maintenance (SM) weight lifting. First set is light (12 reps with 15RM load). Second set is heavy (3-6 reps with 6RM load). Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. This should be a very brief workout. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.5","","2026-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME1. Long-Short at T-pace 2700y","Swim","(You may substitute a masters swim workout.) WU: 4 x 50 descending/faster pace. 300 drills of your choice. MS: 4 x 300 at T-pace (30 sec rest between). 50 swim easy focused on form. 4 x 150 at T-pace (30 sec). CD: 7 x 50 easy swim focused on form Total—2700","0.615","2468.88012695313","2026-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME1. Tempo Intervals (3-4x6min) 45min HR","Run","Tempo Intervals. Warm up well. Then do 3-4 x 6 minutes. Build to zone 3 heart rate with 2-minute recovery walk/jog between intervals. Relaxed form! Listen to breathing.","0.75","","2026-03-10","(This is best outdoors but may be done on a treadmill.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work, Count Strokes 30min","Swim","Swim several long, easy sets. Focus on form. Count strokes per length trying to reduce them with efficient technique. Cadence should be in the range of 45-55 strokes per minute. OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-03-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-03-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-03-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE3. 200s Variable Pace 2350y","Swim","(You may substitute a masters swim workout.) WU: Build effort on each rep. 100 swim, 50 drill (your choice), 100 swim, 50 drill, 100 swim. MS: Each numbered set is done non-stop as a 200. #1—100 easy, 50 mod, 50 fast (10”). #2—50 easy, 100 mod, 50 fast (20”). #3—50 easy, 50 mod, 100 fast (30”). #4—100 fast, 50 easy, 50 mod (20”). #5—50 fast, 100 easy, 50 mod (10”). #6—50 fast, 50 easy, 100 mod (60”). Repeat #1, 2, 3. CD: 150 easy with drills. Total: 2350 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.547222222222222","2148.84008789063","2026-03-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-03-12","This may be done outdoors or on a treadmill.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME2. Hill Cruise Intervals 1h Power","Bike","Hill Cruise Intervals. Warm up about 15 minutes gradually increasing intensity and including a few brief zone 4 efforts as you feel like it. Then climb a 6-8 minute hill (4-6% grade) 4-5 times in power zone 4. Recover after each climb for however long it takes to immediately descend the hill. Get about 30 minutes of high-intensity climbing today. Stay seated upright on each. Smooth pedaling. Short cool down.","1","","2026-03-12","This may be done on an indoor trainer. If so, do 4x8 minutes at zone 4 and recover for 2 minutes in zone 1 after each.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work, Count Strokes/PDLC 30min","Swim","Swim several long, easy sets. Focus on form. Count strokes per length trying to reduce them with efficient technique. Cadence should be in the range of 45-55 strokes per minute. OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-03-13","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. Strides, 6-8 Count Steps 45min RPE","Run","Advanced Strides. (This is best done outdoors but may be done on a treadmill.) Warm up with easy running for 15-20 minutes. On grass or other soft surface, run fast for 6-8 times for 30 steps each time counting only left- (or right-) foot steps. Goal = 19-20 seconds for 30 steps. That means you're running at around 90 rpm. Focus on one aspect of your form (such as foot placement or good posture) on each stride. During the recoveries skip 60 times—30 skips each leg alternating. (See The Triathlete's Training Bible for details on skipping.) Also include walking in recoveries. Cool down in zone 1 to finish off the planned duration for this workout.","0.75","","2026-03-13","Strides may be done barefoot, but be sure to check the course for sharp objects and dog droppings. Don't run barefoot if there are open wounds on your feet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Recovery Spin 1h Power","Bike","Very easy recovery spin on a mostly flat course (or on indoor trainer) in small chainring. Power in zone 1. Light on the pedals. Comfortably high rpm focusing on pedaling skills.","1","","2026-03-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Continuous Swim 70min","Swim","(You may substitute a masters swim workout.) WU: 20 minutes alternating slow-fast pacing. Play with different strokes while warming up. MS: 40-minute steady swim. Swim without stopping. CD: 10 minutes very easy. Choice of strokes or floating on your back, drills, and/or easy swimming. Total: 70 minutes","1.16666666666667","","2026-03-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. AeT Steady State 2h (1.25h) HR","Run","Warm up well. Then on a mostly flat course, run 75 minutes at 30 bpm below your 5a zone (LTHR). Focus on good form with a high cadence (85+ rpm) and flat foot strike.","2","","2026-03-14","1.5 hours if indoors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. AeT Steady State 3h (2.25h) HR+Power","Bike","AeT Steady State. Warm up 20-30 minutes. Then ride 2.25 hours (2:15) steady at about 30 beats per minute (+/- 2 bpm) below the lowest HR in your 5a zone (LTHR). Observe power at this effort if you have a power meter. What was your normalized power (NP) for the steady state portion? Divide NP by average HR for the hour to find your efficiency factor (EF). Over time, as you repeat this workout, your EF should rise. Long, easy cool down.","3","","2026-03-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SM, 2 sets","Strength","Strength: Warm up 5-10 minutes. Then do 2 sets of Strength Maintenance (SM) weight lifting. First set is light (12 reps with 15RM load). Second set is heavy (3-6 reps with 6RM load). Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. This should be a very brief workout. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.5","","2026-03-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME1. Long-Short at T-pace 2700y","Swim","(You may substitute a masters swim workout.) WU: 4 x 50 descending/faster pace. 300 drills of your choice. MS: 4 x 300 at T-pace (30 sec rest between). 50 swim easy focused on form. 4 x 150 at T-pace (30 sec). CD: 7 x 50 easy swim focused on form Total—2700","0.615","2468.88012695313","2026-03-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME1. Tempo Intervals (3-4x6min) 45min HR","Run","Tempo Intervals. Warm up well. Then do 3-4 x 6 minutes. Build to zone 3 heart rate with 2-minute recovery walk/jog between intervals. Relaxed form! Listen to breathing.","0.75","","2026-03-17","(This is best done outdoors but may be done on a treadmill.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Recovery Spin 1h Power","Bike","Very easy recovery spin on a mostly flat course (or on indoor trainer) in small chainring. Power in zone 1. Light on the pedals. Comfortably high rpm focusing on pedaling skills.","1","","2026-03-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work, Count Strokes/PDLC 30min","Swim","Swim several long, easy sets. Focus on form. Count strokes per length trying to reduce them with efficient technique. Cadence should be in the range of 45-55 strokes per minute. OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-03-18","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-03-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-03-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME2. 100s at T-pace 2800y","Swim","(You may substitute a masters swim workout.) WU: 5-10 minutes of swimming and drills (your choice). MS: 6 x 100 at T-pace (10 sec rest between). 30 sec recovery. 6 x 100 at T-pace (10 sec). 30 sec recovery. 6 x 100 at T-pace (10 sec). 30 sec recovery. CD: 600 steady, easy swim. 6 x 50 alternating fast and easy 25s Total—2800+","0.711235773828295","2641.43994140625","2026-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-03-19","This may be done outdoors or on a treadmill.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME2. Hill Cruise Intervals 1h Power","Bike","Hill Cruise Intervals. Warm up about 15 minutes gradually increasing intensity and including a few brief zone 4 efforts as you feel like it. Then climb a 6-8 minute hill (4-6% grade) 4-5 times in power zone 4. Recover after each climb for however long it takes to immediately descend the hill. Get about 30 minutes of high-intensity climbing today. Stay seated upright on each. Smooth pedaling. Short cool down.","1","","2026-03-19","This may be done on an indoor trainer. If so, do 4x8 minutes at zone 4 and recover for 2 minutes in zone 1 after each.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. PDLC Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-03-20","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
